surah_number,surah_name,ayah_number,text_latin,text_arabic_script
1,Al-Fatiha,1,"F'IsemAlla, Kollu Ħniena, il-Ħanin",ف'يسېم الله، كوللو حنيهنا، يل-حانين
1,Al-Fatiha,2,"t-tifħirlil Alla, Sid il-ħolqien",ت-تيفحيرليل الله، سيد يل-حولقيهن
1,Al-Fatiha,3,"Kollu Ħniena, il-Ħanin",كوللو حنيهنا، يل-حانين
1,Al-Fatiha,4,is-Sultan ta' Jum il-Ħaqq,يس-سولتان تا' يوم يل-حاقق
1,Al-Fatiha,5,"Lilekingimu, u lilek nitolbu għajnuna",ليلېكينگيمو، و ليلېك نيتولبو عاينونا
1,Al-Fatiha,6,Mexxina fit-triq id-dritta,مېششينا فيت-تريق يد-دريتتا
1,Al-Fatiha,7,"triq dawk li xħett fuqhom il-grazzja tiegħek, u mhux ta' dawk li (gibdu) l-għadab (tiegħek) fuqhom, u lanqas tal- mitlufin",تريق داوك لي شحېتت فوقهوم يل-گراززيا تيهعېك، و مهوش تا' داوك لي (گيبدو) ل-عاداب (تيهعېك) فوقهوم، و لانقاس تال- ميتلوفين
2,Al-Baqara,1,Alif. Lam. Mim,اليف. لام. ميم
2,Al-Baqara,2,"Dan huwa l-Ktieb (il-Qoran), bla (ebda) dubju; fih tmexxija tajba għal dawk li jibzgħu minn Alla",دان هووا ل-كتيهب (يل-قرآن)، بلا (ېبدا) دوبيو؛ فيه تمېششييا تايبا عال داوك لي ييبزعو مينن الله
2,Al-Baqara,3,"lijemmnu fil-mistur, jagħmlu t-talb u jonfqu mill-gid li tajniehom (għal ħaddieħor)",لييېممنو فيل-ميستور، ياعملو ت-تالب و يونفقو ميلل-گيد لي تاينيههوم (عال حادديهحور)
2,Al-Baqara,4,"u li jemmnu f'dak li tnizzel lilek (Muħammad) u f'li tnizzel qablek, u jemmnu sħiħ fil-Ħajja l-Oħra",و لي يېممنو ف'داك لي تنيززېل ليلېك (محمد) و ف'لي تنيززېل قابلېك، و يېممنو سحيح فيل-حاييا ل-وحرا
2,Al-Baqara,5,"Dawk għandhom it-tmexxija t-tajba mingħand Sidhom, u dawk huma (tabilħaqq) ir-rebbieħa",داوك عاندهوم يت-تمېششييا ت-تايبا مينعاند سيدهوم، و داوك هوما (تابيلحاقق) ير-رېببيهحا
2,Al-Baqara,6,"Tabilħaqq li dawk li ma jemmnux xorta waħda għalihom, sew jekk twissihom ( Muħammad), u sew jekk ma twissihomx (dwar il-kastig li gej fuqhom): huma ma jemmnux",تابيلحاقق لي داوك لي ما يېممنوش شورتا واحدا عاليهوم، سېو يېكك تويسسيهوم ( محمد)، و سېو يېكك ما تويسسيهومش (دوار يل-كاستيگ لي گېي فوقهوم): هوما ما يېممنوش
2,Al-Baqara,7,"Alla qiegħed sigill fuq qlubhom, fuq is-smigħ tagħhom, u għamad fuq għajnejhom. Għalihom (hemm) kastig mill- kbar (f'din il-ħajja u fl-Oħra)",الله قيهعېد سيگيلل فوق قلوبهوم، فوق يس-سميع تاعهوم، و عاماد فوق عاينېيهوم. عاليهوم (هېمم) كاستيگ ميلل- كبار (ف'دين يل-حاييا و فل-وحرا)
2,Al-Baqara,8,"Fost in-nies hemm min jgħid: 'Nemmnu f'Alla u fl- Aħħar Jum,' izda ma jemmnux (tassew)",فوست ين-نيهس هېمم مين يعيد: 'نېممنو ف'الله و فل- اححار يوم،' يزدا ما يېممنوش (تاسسېو)
2,Al-Baqara,9,"Iqarrqu (mingħalihom) b'Alla u b'dawk li emmnu, izda ma jqarrqux ħlief bihom infushom, bla ma jintebħu",يقاررقو (مينعاليهوم) ب'الله و ب'داوك لي ېممنو، يزدا ما يقاررقوش حليهف بيهوم ينفوسهوم، بلا ما يينتېبحو
2,Al-Baqara,10,"Fi qlubhom hemm marda, u Alla ziedhom fil-mard. Għalihom (hemm) kastig ta' wgigħ mill-kbar, tal-gideb li kienu jigdbu",في قلوبهوم هېمم ماردا، و الله زيهدهوم فيل-مارد. عاليهوم (هېمم) كاستيگ تا' وگيع ميلل-كبار، تال-گيدېب لي كيهنو ييگدبو
2,Al-Baqara,11,Meta jingħad lilhom: ''La tagħmlux ħsara fl-art;' huma jgħidu: ''Anzi aħna nagħmlu l-gidi,مېتا يينعاد ليلهوم: ''لا تاعملوش حسارا فل-ارت؛' هوما يعيدو: ''انزي احنا ناعملو ل-گيدي
2,Al-Baqara,12,"Tabilħaqq huma li jagħmlu l-ħsara, izda ma jintebħux",تابيلحاقق هوما لي ياعملو ل-حسارا، يزدا ما يينتېبحوش
2,Al-Baqara,13,"U meta jingħad lilhom: 'Emmnu bħalma jemmnu n- nies,' huma jgħidu: 'Għandna nemmnu bħalma jemmnu l-bolohi 7' Tabilħaqq huma l-boloh, izda ma jafux",و مېتا يينعاد ليلهوم: 'ېممنو بحالما يېممنو ن- نيهس،' هوما يعيدو: 'عاندنا نېممنو بحالما يېممنو ل-بولوهي 7' تابيلحاقق هوما ل-بولوه، يزدا ما يافوش
2,Al-Baqara,14,"Meta (dawn ta' wicc b'ieħor) jiltaqgħu ma' dawk li jemmnu, jgħidu: 'Aħna nemmnu. Izda: meta. jkunu waħidhom, max-xjaten tagħhom, jgħidu: Aħna tabilħaqq magħkom. Konna qegħdin biss inwaqqgħu (it- twemmin) għac-cajt",مېتا (داون تا' ويكك ب'يهحور) ييلتاقعو ما' داوك لي يېممنو، يعيدو: 'احنا نېممنو. يزدا: مېتا. يكونو واحيدهوم، ماش-شياتېن تاعهوم، يعيدو: احنا تابيلحاقق ماعكوم. كوننا قېعدين بيسس ينواققعو (يت- توېممين) عاك-كايت
2,Al-Baqara,15,Alla jwaqqa' lilhom għac-cajt (u b'hekk iħallashom bl- istess għemil tagħhom) u jħallihom mitlufin bħal għomja. fil-ħtija tagħhom,الله يواققا' ليلهوم عاك-كايت (و ب'هېكك يحاللاسهوم بل- يستېسس عېميل تاعهوم) و يحالليهوم ميتلوفين بحال عوميا. فيل-حتييا تاعهوم
2,Al-Baqara,16,"Huma dawk li xtraw it-telfien u biegħu t-tmexxija t- tajba, izda n-negozju tagħhom ma ħalliex qligħ. u tilfu t- tmexxija t-tajba",هوما داوك لي شتراو يت-تېلفيهن و بيهعو ت-تمېششييا ت- تايبا، يزدا ن-نېگوزيو تاعهوم ما حالليهش قليع. و تيلفو ت- تمېششييا ت-تايبا
2,Al-Baqara,17,"Huma bħal dak li kebbes nar li, meta dawwal madwaru, Alla (lil dawk li caħduh) ħadilhom id-dawl tagħhom u telaqhom fi dlamijiet, bla ma jaraw",هوما بحال داك لي كېببېس نار لي، مېتا داووال مادوارو، الله (ليل داوك لي كاحدوه) حاديلهوم يد-داول تاعهوم و تېلاقهوم في دلاميييهت، بلا ما ياراو
2,Al-Baqara,18,"Torox, imbikkma, għomja, u għalhekk ma jerggħux lura (għat-triq it-tajba)",توروش، يمبيككما، عوميا، و عالهېكك ما يېرگعوش لورا (عات-تريق يت-تايبا)
2,Al-Baqara,19,"Jew bħal sħaba tax-xita, mis-sema, li fiha dlamijiet, ragħad u. beraq. Huma jqiegħdu subgħajhom f'widnejhom minħabba t-tifqigħ tar-ragħad, bil-biza' tal- mewt, Izda Alla għandu taħt idejh lil dawk li ma jemmnux",يېو بحال سحابا تاش-شيتا، ميس-سېما، لي فيها دلاميييهت، راعاد و. بېراق. هوما يقيهعدو سوبعايهوم ف'ويدنېيهوم مينحاببا ت-تيفقيع تار-راعاد، بيل-بيزا' تال- مېوت، يزدا الله عاندو تاحت يدېيه ليل داوك لي ما يېممنوش
2,Al-Baqara,20,"Il-beraq għoddu jaħtaf dawl għajnejhom; kull meta (iz- beraq) idawwal madwarhom, huma jimxu fih (fid-dawl tiegħu), u meta jdallam fuqhom, huma jieqfu. Kieku ried, Alla ħadilhom is-smigħ u dawl għajnejhom. Alla tabilħaqq fuq kollox Setgħan",يل-بېراق عوددو ياحتاف داول عاينېيهوم؛ كولل مېتا (يز- بېراق) يداووال مادوارهوم، هوما ييمشو فيه (فيد-داول تيهعو)، و مېتا يداللام فوقهوم، هوما ييهقفو. كيهكو ريهد، الله حاديلهوم يس-سميع و داول عاينېيهوم. الله تابيلحاقق فوق كوللوش سېتعان
2,Al-Baqara,21,"Ja nies, qimu lil Sidkom li ħalaq lilkom u lil ta' qabilkom, forsi jkollkom il-biza' ta' Alla",يا نيهس، قيمو ليل سيدكوم لي حالاق ليلكوم و ليل تا' قابيلكوم، فورسي يكوللكوم يل-بيزا' تا' الله
2,Al-Baqara,22,"(Huwa) li għamlilkom l-art bħal friex, u s-sema bħal saqaf, u nizzel l-ilma mis-sema u bih ħareg għamliet ta' frott għall-għajxien tagħkom. Lil Alla tagħmlulux allat oħra (li jħabbtuha miegħu) meta intom tafu (li lilu biss tistħoqq kull qima)",(هووا) لي عامليلكوم ل-ارت بحال فريهش، و س-سېما بحال ساقاف، و نيززېل ل-يلما ميس-سېما و بيه حارېگ عامليهت تا' فروتت عالل-عايشيهن تاعكوم. ليل الله تاعملولوش اللات وحرا (لي يحاببتوها ميهعو) مېتا ينتوم تافو (لي ليلو بيسس تيستحوقق كولل قيما)
2,Al-Baqara,23,"Jekk intom f'dubju dwar dak (il-Qoran) li nizzilna lill- qaddej tagħna (Muħammad), mela gibu xi sura bħalu (/i tixbah is-suriet f'dan il-Ktieb) u sejħu x-xhieda tagħkom (jekk tabilħaqq għandkom lil xi ħadd) minbarra Alla, jekk qegħdin tgħidu s-sewwa",يېكك ينتوم ف'دوبيو دوار داك (يل-قرآن) لي نيززيلنا ليلل- قاددېي تاعنا (محمد)، مېلا گيبو شي سورا بحالو (/ي تيشباه يس-سوريهت ف'دان يل-كتيهب) و سېيحو ش-شهيهدا تاعكوم (يېكك تابيلحاقق عاندكوم ليل شي حادد) مينباررا الله، يېكك قېعدين تعيدو س-سېووا
2,Al-Baqara,24,"Izda jekk ma tagħmlux dan, u tabilħaqq qatt m'intom se tagħmlu(di), mela ibzgħu min-Nar li l-ħatab tiegħu huma n-nies u l-gebel, li tħejja għal dawk lima jemmnux (u jicħdu s-sewwa)",يزدا يېكك ما تاعملوش دان، و تابيلحاقق قاتت م'ينتوم سې تاعملو(دي)، مېلا يبزعو مين-نار لي ل-حاتاب تيهعو هوما ن-نيهس و ل-گېبېل، لي تحېييا عال داوك ليما يېممنوش (و ييكحدو س-سېووا)
2,Al-Baqara,25,"Agħti l-bxara t-tajba (Muħammad) lil dawk li jemmnu u jagħmlu għemejjel tajba (u ħabbrilhom) li għalihom hemm Gonna (fl-Għeden) bix-xmajjar jigru taħthom. Kull meta jingħataw mill-frott tagħhom huma jgħidu: SDan huwa li ngħatajna qabel;'' għaliex jingħatalhom ikel jixbhu. Hemm ikollhom nisa safjin, u jgħammru fil- Gonna għal dejjem",اعتي ل-بشارا ت-تايبا (محمد) ليل داوك لي يېممنو و ياعملو عېمېييېل تايبا (و حاببريلهوم) لي عاليهوم هېمم گوننا (فل-عېدېن) بيش-شماييار ييگرو تاحتهوم. كولل مېتا يينعاتاو ميلل-فروتت تاعهوم هوما يعيدو: سدان هووا لي نعاتاينا قابېل؛'' عاليهش يينعاتالهوم يكېل ييشبهو. هېمم يكوللهوم نيسا سافيين، و يعاممرو فيل- گوننا عال دېييېم
2,Al-Baqara,26,"Alla ma jistħix ixebbah ma' nemusa, jew ma' xi ħaga ikbar jew izgħar minnha. Dawk li jemmnu jafu li huwa s- sewwa mingħand Sidhom, izda dawk li ma jemmnux jgħidu: 'Xi jrid (jgħallem) Alla b'din it-tixbihaf' Biha huwa jtellef it-triq lil ħafna, u lil ħafna oħrajn jurihom it- triq. Huwa ma jtellifx biha ħlief lill-ħziena",الله ما ييستحيش يشېبباه ما' نېموسا، يېو ما' شي حاگا يكبار يېو يزعار ميننها. داوك لي يېممنو يافو لي هووا س- سېووا مينعاند سيدهوم، يزدا داوك لي ما يېممنوش يعيدو: 'شي يريد (يعاللېم) الله ب'دين يت-تيشبيهاف' بيها هووا يتېللېف يت-تريق ليل حافنا، و ليل حافنا وحراين يوريهوم يت- تريق. هووا ما يتېلليفش بيها حليهف ليلل-حزيهنا
2,Al-Baqara,27,"li jiksru r-rabta ta' Alla wara li kienu ntrabtu biha, jaqtgħu dak li Alla amar li għandu jingħaqad, u jagħmlu l-ħsara fl-art. Dawk huma t-telliefa",لي ييكسرو ر-رابتا تا' الله وارا لي كيهنو نترابتو بيها، ياقتعو داك لي الله امار لي عاندو يينعاقاد، و ياعملو ل-حسارا فل-ارت. داوك هوما ت-تېلليهفا
2,Al-Baqara,28,"Kif ticħdu lil Alla, meta kontu mejtin u takom il-ħajja 2 Imbagħad jibagħtilkom il-mewt, u mbagħad jagħtikom il- ħajja, u wara terggħu lura għandu (fl-Aħħar Jum biex tagħtu kont ta' ħajjitkom)",كيف تيكحدو ليل الله، مېتا كونتو مېيتين و تاكوم يل-حاييا 2 يمباعاد ييباعتيلكوم يل-مېوت، و مباعاد ياعتيكوم يل- حاييا، و وارا تېرگعو لورا عاندو (فل-اححار يوم بيهش تاعتو كونت تا' حايييتكوم)
2,Al-Baqara,29,"Huwa ħalqilkom kulma jinsab fl-art, imbagħad dar lejn is-sema u għamel minnu seba' smewwiet. Huwa jaf b'kollox",هووا حالقيلكوم كولما يينساب فل-ارت، يمباعاد دار لېين يس-سېما و عامېل ميننو سېبا' سمېوويهت. هووا ياف ب'كوللوش
2,Al-Baqara,30,"(Ftakar, Muħammad) meta Sidek qal lill-angli: ''Jiena se nqiegħed fl-art successur.' Huma qalu: ''Se tqiegħed fiha lil-min jagħmlilha l-ħsara u jxerred id-dmija, filwaqt li aħna nfaħħru s-sebħ tiegħek u nqaddsulek' Qal: Jiena naf dak li intom ma tafuxi",(فتاكار، محمد) مېتا سيدېك قال ليلل-انگلي: ''ييهنا سې نقيهعېد فل-ارت سوككېسسور.' هوما قالو: ''سې تقيهعېد فيها ليل-مين ياعمليلها ل-حسارا و يشېررېد يد-دمييا، فيلواقت لي احنا نفاححرو س-سېبح تيهعېك و نقاددسولېك' قال: ييهنا ناف داك لي ينتوم ما تافوشي
