surah_number,surah_name,ayat_number,text_latin,text_arabic,source_status,publishable
1,Fatyha,1,Rahman (Mähriban) we Rahym (Rehim-şepagatly) Allanyň ady bilen (başlaýaryn).,رحمن (مەھریبان) وە رحیم (رەھیم-شەپاگاتلی) الله‌ڭ ادی بیلەن (باشلایارین)۔,OK,True
1,Fatyha,2,(Ähli) hamdy-senalar älemleriň Perwerdigäri Alla mahsusdyr.,(ئەھلی) حمدی-سەنالار ئەلەملەریڭ پروردگاری الله ماھسۇسدیر۔,OK,True
1,Fatyha,3,"(Ol) Rahmandyr (Mähribandyr), Rahymdyr (Rehim-şepagatlydyr).",(ئول) رحمن‌دیر (مەھریباندیر)، رحیم‌دیر (رەھیم-شەپاگاتلیدیر)۔,OK,True
1,Fatyha,4,Din (kyýamat) gününiň Eýesidir.,دین (قیامت) گۈنۈنیڭ ئەیەسیدیر۔,OK,True
1,Fatyha,5,"(Eý, Allam!) Biz diňe Saňa ybadat edýäris we diňe Senden kömek soraýarys!",(ئەی، اللهم!) بیز دیڭە ساڭا عبادت ئەدیەریس وە دیڭە سەندەن کۆمەک سورایاریس!,OK,True
1,Fatyha,6,"(Eý, Allam!) Bizi dogry ýola (yslam dinine) gönükdir!",(ئەی، اللهم!) بیزی دوگری یولا (یسلام دینینە) گۆنۈکدیر!,OK,True
1,Fatyha,7,"(Bizi) gazaba sezewar bolanlaryň we azaşanlaryň (ýoluna) däl-de, Öz nygmat berenleriň ýoluna (gönükdir)!",(بیزی) گازابا سەزەوار بولانلاریڭ وە ازاشانلاریڭ (یولۇنا) دەل-دە، ئۆز نیگمات بەرەنلەریڭ یولۇنا (گۆنۈکدیر)!,OK,True
2,Bakara,1,"Elif, Läm, Mim.",ئەلیف، لەم، میم۔,OK,True
2,Bakara,2,Bu (Kuran) özüniň (hakykatdygyna) şek-şübhe bolmadyk we takwalar,بۇ (قرآن) ئۆزۈنیڭ (ھاکیکاتدیگینا) شەک-شۈبھە بولمادیک وە تقویلار,OK,True
2,Bakara,3,"Olar (takwalar) gaýyba ynanýarlar, namaz okaýarlar we Biziň özlerine beren rysgalymyzdan (Alla ýolunda) haýyr-sahawat edýärler.",ئولار (تقویلار) گاییبا ینانیارلار، نماز ئوکایارلار وە بیزیڭ ئۆزلەرینە بەرەن ریسگالیمیزدان (الله یولۇندا) ھاییر-ساھاوات ئەدیەرلەر۔,OK,True
