surah_number,surah_name,ayat_number,text,source_status,publishable
1,Fatyha,1,Rahman (Mähriban) we Rahym (Rehim-şepagatly) Allanyň ady bilen (başlaýaryn).,OK,True
1,Fatyha,2,(Ähli) hamdy-senalar älemleriň Perwerdigäri Alla mahsusdyr.,OK,True
1,Fatyha,3,"(Ol) Rahmandyr (Mähribandyr), Rahymdyr (Rehim-şepagatlydyr).",OK,True
1,Fatyha,4,Din (kyýamat) gününiň Eýesidir.,OK,True
1,Fatyha,5,"(Eý, Allam!) Biz diňe Saňa ybadat edýäris we diňe Senden kömek soraýarys!",OK,True
1,Fatyha,6,"(Eý, Allam!) Bizi dogry ýola (yslam dinine) gönükdir!",OK,True
1,Fatyha,7,"(Bizi) gazaba sezewar bolanlaryň we azaşanlaryň (ýoluna) däl-de, Öz nygmat berenleriň ýoluna (gönükdir)!",OK,True
2,Bakara,1,"Elif, Läm, Mim.",OK,True
2,Bakara,2,Bu (Kuran) özüniň (hakykatdygyna) şek-şübhe bolmadyk we takwalar,OK,True
2,Bakara,3,"Olar (takwalar) gaýyba ynanýarlar, namaz okaýarlar we Biziň özlerine beren rysgalymyzdan (Alla ýolunda) haýyr-sahawat edýärler.",OK,True
2,Bakara,4,(Şeýle-de) olar (takwalar) saňa inderilene (Kurana) we senden öňki (pygamberlere) inderilen (kitaplara) ynanýarlar. Olar ahyrete (hem) doly ynanýarlar.,OK,True
2,Bakara,5,"Ine, olar (takwalar) özleriniň Perwerdigärinden (gelen) dogry ýoldadyrlar we halas bolanlar (hem) hut olaryň özleridir.",OK,True
2,Bakara,6,"Takyk, inkär edenleri (azap bilen) gorkuzsaň-da, gorkuzmasaň-da, (olar üçin) deňdir. Olar (barybir) ynanmazlar.",OK,True
2,Bakara,7,Alla olaryň kalplaryny we gulaklaryny möhürländir. Olaryň gözleriniň (öňünde) perde bardyr. Olara uly azap bardyr.,OK,True
2,Bakara,8,"Ynsanlaryň arasynda, ynanmasalar hem: «Biz Alla we ahyret gününe iman getirdik» diýýänler bardyr.",OK,True
2,Bakara,9,Olar Allany we iman getirenleri aldaýandyrys (öýdýärler). Emma olar (diňe) özlerini aldaýarlar we (muňa özleri hem) düşünmeýärler.,OK,True
2,Bakara,10,Olaryň kalplarynda hassalyk (ikiýüzlülik) bardyr. Alla olaryň,OK,True
2,Bakara,11,"Olara: «Ýer ýüzünde bozgakçylyk etmäň!» diýlende, (olar): «Takyk biz (işleri) düzedýäris» diýýärler.",OK,True
2,Bakara,12,"Emma, takyk, olar bozgaklaryň hut özleridir, ýöne (muňa) özleri hem düşünmeýärler.",OK,True
2,Bakara,13,"Olara: «Siz hem iman getiren ynsanlar ýaly iman getiriň!» diýlen mahaly, olar: «Heý-de biz akmaklar ýaly iman getirerismi?» diýýärler. Emma (hakyky) akmaklar olaryň hut özleridir, ýöne olar (muny) bilmeýärler.",OK,True
